id,Totpop16,male16,female16,medage16,white16,black16,BAdeg16,unemp16,medinc16,pct_white,pct_black,pct_BAdeg,pct_unemp,urban_class
43,11299,5289,6010,40.6,2859,8310,1052,805,28023,25.3031241702806,73.5463315337641,9.31055845650058,7.12452429418533,Rural
44,21452,9826,11626,36.3,3319,17729,2512,1548,27957,15.4717508856983,82.6449748275219,11.7098638821555,7.216110385978,Suburban
45,334811,164320,170491,37.3,228280,80376,83642,16463,58242,68.1817503009161,24.006379718707,24.9818554348573,4.91710248468539,Urban
46,21027,9913,11114,40.4,9751,10872,2482,901,34515,46.3737099919152,51.7049507775717,11.8038712132021,4.28496694725829,Suburban
47,30776,15293,15483,42.8,28791,1184,1887,1435,31970,93.5501689628282,3.84715362620224,6.13140109175981,4.66272420067585,Suburban
48,93019,45843,47176,38.2,81464,1494,9448,3852,38649,87.5778066846558,1.60612348014922,10.1570646857094,4.14108945484256,Suburban
49,412992,198374,214618,36.6,248647,142992,54313,21577,42973,60.2062509685418,34.6234309623431,13.1511022005269,5.22455640787231,Urban
50,23068,11109,11959,40.1,12718,9614,1514,1403,30996,55.1326512918329,41.6767816889197,6.56320443904977,6.08201838044044,Suburban
51,229363,109167,120196,34.9,90656,125477,45258,9549,44401,39.5251195702881,54.7067312513352,19.732040477322,4.16326957704599,Urban
52,119490,58886,60604,39,95404,14185,15801,6557,45852,79.8426646581304,11.8712863001088,13.2237007280944,5.4874884927609,Urban
53,10591,4980,5611,37.2,3204,7276,739,674,31008,30.2521008403361,68.6998394863563,6.97762250967803,6.36389387215561,Rural
54,19746,9428,10318,41.9,11110,8211,1317,1174,28762,56.264559910868,41.5831054390763,6.66970525676086,5.94550795097741,Rural
55,32899,15700,17199,31.4,19144,12054,4281,1535,31702,58.1902185476762,36.6394115322654,13.0125535730569,4.66579531292745,Suburban
56,22913,11104,11809,41.2,17532,4607,1838,1127,35074,76.5155152097063,20.1064897656352,8.02164709989962,4.91860515864356,Suburban
57,52947,25287,27660,35.8,28449,22135,5123,2855,33591,53.7310895801462,41.8059569002965,9.67571344929835,5.39218463746766,Suburban
58,83593,41904,41689,38.6,73741,7150,8507,4244,49652,88.2143241658991,8.55334776835381,10.1766894357183,5.07698012991518,Suburban
59,195085,95557,99528,36.9,161943,20732,52858,6674,69379,83.0115078042905,10.627162518902,27.0948560883717,3.42107286567394,Urban
60,13763,6261,7502,37.7,3326,10316,1287,1119,22655,24.1662428249655,74.9545883891593,9.35115890430865,8.13049480491172,Rural
61,82291,40077,42214,39.3,53739,26055,6862,5330,35209,65.3036176495607,31.6620286544094,8.33870046542149,6.47701449733264,Suburban
62,41616,20190,21426,42.4,29087,11083,4493,2156,38611,69.8937908496732,26.6315840061515,10.7963283352557,5.18069973087274,Suburban
63,194656,94400,100256,31.2,129004,57611,30409,7445,43996,66.272809469012,29.59631349663,15.6219176393227,3.82469587374651,Urban
64,67023,32668,34355,41.2,61146,3928,4762,3883,37408,91.2313683362428,5.86067469376184,7.10502364859824,5.7935335631052,Suburban
65,17581,8656,8925,39.7,11508,4380,1104,1328,42256,65.45702747284,24.9132586314772,6.27950628519424,7.55360900972641,Rural
